candidate_name,core,spacer,anchor,substituent,design_family,smiles,canonical_smiles,valid_smiles,candidate_id
carbazole_C2_Br/F-Ph,carbazole,C2,phosphonic acid,Br/F-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(c3ccc(F)cc3)ccc21,O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(-c3ccc(F)cc3)ccc21,True,VSAM-0071
carbazole_C2_Br/Cl-Ph,carbazole,C2,phosphonic acid,Br/Cl-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(c3ccc(Cl)cc3)ccc21,O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(-c3ccc(Cl)cc3)ccc21,True,VSAM-0072
carbazole_C2_Br/Me-Ph,carbazole,C2,phosphonic acid,Br/Me-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(c3ccc(C)cc3)ccc21,Cc1ccc(-c2ccc3c(c2)c2cc(Br)ccc2n3CCP(=O)(O)O)cc1,True,VSAM-0073
carbazole_C2_Me/OMe,carbazole,C2,phosphonic acid,Me/OMe,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(C)cc2c2cc(OC)ccc21,COc1ccc2c(c1)c1cc(C)ccc1n2CCP(=O)(O)O,True,VSAM-0074
carbazole_C2_Me/CN,carbazole,C2,phosphonic acid,Me/CN,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(C)cc2c2cc(C#N)ccc21,Cc1ccc2c(c1)c1cc(C#N)ccc1n2CCP(=O)(O)O,True,VSAM-0075
carbazole_C2_Me/CF3,carbazole,C2,phosphonic acid,Me/CF3,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(C)cc2c2cc(C(F)(F)F)ccc21,Cc1ccc2c(c1)c1cc(C(F)(F)F)ccc1n2CCP(=O)(O)O,True,VSAM-0076
carbazole_C2_Me/Ph,carbazole,C2,phosphonic acid,Me/Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(C)cc2c2cc(c3ccccc3)ccc21,Cc1ccc2c(c1)c1cc(-c3ccccc3)ccc1n2CCP(=O)(O)O,True,VSAM-0077
carbazole_C2_Me/Th,carbazole,C2,phosphonic acid,Me/Th,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(C)cc2c2cc(c3ccsc3)ccc21,Cc1ccc2c(c1)c1cc(-c3ccsc3)ccc1n2CCP(=O)(O)O,True,VSAM-0078
carbazole_C2_Me/Anisyl,carbazole,C2,phosphonic acid,Me/Anisyl,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(C)cc2c2cc(c3ccc(OC)cc3)ccc21,COc1ccc(-c2ccc3c(c2)c2cc(C)ccc2n3CCP(=O)(O)O)cc1,True,VSAM-0079
carbazole_C2_Me/F-Ph,carbazole,C2,phosphonic acid,Me/F-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(C)cc2c2cc(c3ccc(F)cc3)ccc21,Cc1ccc2c(c1)c1cc(-c3ccc(F)cc3)ccc1n2CCP(=O)(O)O,True,VSAM-0080
carbazole_C2_Me/Cl-Ph,carbazole,C2,phosphonic acid,Me/Cl-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(C)cc2c2cc(c3ccc(Cl)cc3)ccc21,Cc1ccc2c(c1)c1cc(-c3ccc(Cl)cc3)ccc1n2CCP(=O)(O)O,True,VSAM-0081
carbazole_C2_Me/Me-Ph,carbazole,C2,phosphonic acid,Me/Me-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(C)cc2c2cc(c3ccc(C)cc3)ccc21,Cc1ccc(-c2ccc3c(c2)c2cc(C)ccc2n3CCP(=O)(O)O)cc1,True,VSAM-0082
carbazole_C2_OMe/CN,carbazole,C2,phosphonic acid,OMe/CN,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(OC)cc2c2cc(C#N)ccc21,COc1ccc2c(c1)c1cc(C#N)ccc1n2CCP(=O)(O)O,True,VSAM-0083
carbazole_C2_OMe/CF3,carbazole,C2,phosphonic acid,OMe/CF3,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(OC)cc2c2cc(C(F)(F)F)ccc21,COc1ccc2c(c1)c1cc(C(F)(F)F)ccc1n2CCP(=O)(O)O,True,VSAM-0084
carbazole_C2_OMe/Ph,carbazole,C2,phosphonic acid,OMe/Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(OC)cc2c2cc(c3ccccc3)ccc21,COc1ccc2c(c1)c1cc(-c3ccccc3)ccc1n2CCP(=O)(O)O,True,VSAM-0085
carbazole_C2_OMe/Th,carbazole,C2,phosphonic acid,OMe/Th,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(OC)cc2c2cc(c3ccsc3)ccc21,COc1ccc2c(c1)c1cc(-c3ccsc3)ccc1n2CCP(=O)(O)O,True,VSAM-0086
carbazole_C2_OMe/Anisyl,carbazole,C2,phosphonic acid,OMe/Anisyl,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(OC)cc2c2cc(c3ccc(OC)cc3)ccc21,COc1ccc(-c2ccc3c(c2)c2cc(OC)ccc2n3CCP(=O)(O)O)cc1,True,VSAM-0087
carbazole_C2_OMe/F-Ph,carbazole,C2,phosphonic acid,OMe/F-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(OC)cc2c2cc(c3ccc(F)cc3)ccc21,COc1ccc2c(c1)c1cc(-c3ccc(F)cc3)ccc1n2CCP(=O)(O)O,True,VSAM-0088
carbazole_C2_OMe/Cl-Ph,carbazole,C2,phosphonic acid,OMe/Cl-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(OC)cc2c2cc(c3ccc(Cl)cc3)ccc21,COc1ccc2c(c1)c1cc(-c3ccc(Cl)cc3)ccc1n2CCP(=O)(O)O,True,VSAM-0089
carbazole_C2_OMe/Me-Ph,carbazole,C2,phosphonic acid,OMe/Me-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(OC)cc2c2cc(c3ccc(C)cc3)ccc21,COc1ccc2c(c1)c1cc(-c3ccc(C)cc3)ccc1n2CCP(=O)(O)O,True,VSAM-0090
carbazole_C2_CN/CF3,carbazole,C2,phosphonic acid,CN/CF3,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(C#N)cc2c2cc(C(F)(F)F)ccc21,N#Cc1ccc2c(c1)c1cc(C(F)(F)F)ccc1n2CCP(=O)(O)O,True,VSAM-0091
carbazole_C2_CN/Ph,carbazole,C2,phosphonic acid,CN/Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(C#N)cc2c2cc(c3ccccc3)ccc21,N#Cc1ccc2c(c1)c1cc(-c3ccccc3)ccc1n2CCP(=O)(O)O,True,VSAM-0092
