canonical_smiles,name,original_smiles,pce_mean,pce_median,pce_max,record_count,phosphonic acid / phosphonate,carboxylic acid / carboxylate,carbazole core,benzene ring,thiophene ring,C2 alkyl spacer,C3 alkyl spacer,C4 alkyl spacer,C6 alkyl chain,carbonyl group,fluorinated carbon,chlorinated aryl,brominated aryl,Ring count,Aromatic rings,P atoms,N atoms,O atoms,F atoms,Heavy atoms,MolWt,LogP,TPSA,HBA,HBD,FractionCSP3,brics_fragments,pce_group
O=P(O)(O)CCCCn1c2ccc(Cl)cc2c2ccc(Cl)cc21,Cz-Cl-4,O=P(O)(O)CCCCn1c2ccc(Cl)cc2c2ccc(Cl)cc21,14.3,14.3,14.3,1,1,0,1,1,0,1,1,1,0,0,0,1,0,3,3,1,1,3,0,23,372.18800000000016,5.059200000000003,62.46,1,2,0.25,*CCCCP(=O)(O)O|*n1c2ccc(Cl)cc2c2ccc(Cl)cc21,middle
O=P(O)(O)CCCCn1c2ccc(F)cc2c2ccc(F)cc21,F-4PACz,O=P(O)(O)CCCCn1c2ccc(F)cc2c2ccc(F)cc21,14.116666666666667,14.21,15.08,6,1,0,1,1,0,1,1,1,0,0,1,0,0,3,3,1,1,3,2,23,339.2780000000001,4.030600000000002,62.46,1,2,0.25,*CCCCP(=O)(O)O|*n1c2ccc(F)cc2c2ccc(F)cc21,middle
O=P(O)(O)CCCCn1c2ccc(I)cc2c2ccc(I)cc21,Cz-I-4,O=P(O)(O)CCCCn1c2ccc(I)cc2c2ccc(I)cc21,16.0,16.0,16.0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,3,3,1,1,3,0,23,555.0900000000001,4.961600000000003,62.46,1,2,0.25,*CCCCP(=O)(O)O|*n1c2ccc(I)cc2c2ccc(I)cc21,middle
O=P(O)(O)CCCCn1c2ccc3cc(Br)ccc3c2c2c3ccc(Br)cc3ccc21,JJ26,BrC1=CC=C2C3=C(N(CCCCP(O)(O)=O)C4=C3C5=CC=C(Br)C=C5C=C4)C=CC2=C1,19.05,19.27,19.35,3,1,0,1,1,0,1,1,1,0,0,0,0,1,5,5,1,1,3,0,31,561.2100000000002,7.583800000000005,62.46,1,2,0.16666666666666666,*CCCCP(=O)(O)O|*n1c2ccc3cc(Br)ccc3c2c2c3ccc(Br)cc3ccc21,high
O=P(O)(O)CCCCn1c2ccc3ccccc3c2c2c3ccccc3ccc21,4PADCB,C1=CC=C2C(=C1)C=CC3=C2C4=C(N3CCCCP(=O)(O)O)C=CC5=CC=CC=C54,17.547222222222224,17.375,19.5,18,1,0,1,1,0,1,1,1,0,0,0,0,0,5,5,1,1,3,0,29,403.4180000000002,6.058800000000005,62.46,1,2,0.16666666666666666,*CCCCP(=O)(O)O|*n1c2ccc3ccccc3c2c2c3ccccc3ccc21,middle
O=P(O)(O)CCCCn1c2ccccc2c2cc(-c3ccccc3)ccc21,P-4PACz,O=P(O)(O)CCCCn1c2ccccc2c2cc(-c3ccccc3)ccc21,18.114,18.16,20.3,5,1,0,1,1,0,1,1,1,0,0,0,0,0,4,4,1,1,3,0,27,379.39600000000013,5.419400000000005,62.46,1,2,0.18181818181818182,*CCCCP(=O)(O)O|*c1ccc2c(c1)c1ccccc1n2*|*c1ccccc1,middle
O=P(O)(O)CCCCn1c2ccccc2c2cc3ccccc3cc21,4BCP,O=P(O)(O)CCCCn1c2ccccc2c2cc3ccccc3cc21,18.54,19.1,19.7,5,1,0,1,1,0,1,1,1,0,0,0,0,0,4,4,1,1,3,0,25,353.3580000000001,4.905600000000004,62.46,1,2,0.2,*CCCCP(=O)(O)O|*n1c2ccccc2c2cc3ccccc3cc21,high
O=P(O)(O)CCCCn1c2ccccc2c2ccc(-c3csc(Br)c3)cc21,ThBr-4PACz,O=P(O)(O)CCCCn1c2ccccc2c2ccc(-c3csc(Br)c3)cc21,19.5,19.5,19.5,1,1,0,1,1,1,1,1,1,0,0,0,0,1,4,4,1,1,3,0,27,464.32100000000014,6.243400000000005,62.46,2,2,0.2,*CCCCP(=O)(O)O|*c1ccc2c3ccccc3n(*)c2c1|*c1csc(Br)c1,high
O=P(O)(O)CCCCn1c2ccccc2c2ccc(Br)cc21,2-Br-4PACz,O=P(O)(O)CCCCn1c2ccccc2c2ccc(Br)cc21,18.56,18.56,18.56,1,1,0,1,1,0,1,1,1,0,0,0,0,1,3,3,1,1,3,0,22,382.1940000000001,4.5149000000000035,62.46,1,2,0.25,*CCCCP(=O)(O)O|*n1c2ccccc2c2ccc(Br)cc21,high
O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,4PACz,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,16.703,16.35,18.4,10,1,0,1,1,0,1,1,1,0,0,0,0,0,3,3,1,1,3,0,21,303.29800000000006,3.7524000000000024,62.46,1,2,0.25,*CCCCP(=O)(O)O|*n1c2ccccc2c2ccccc21,middle
O=P(O)(O)CCCn1c2cc3ccccc3cc2c2cc3ccccc3cc21,3DBCP,O=P(O)(O)CCCn1c2cc3ccccc3cc2c2cc3ccccc3cc21,18.0,18.0,18.0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,5,5,1,1,3,0,28,389.39100000000013,5.668700000000005,62.46,1,2,0.13043478260869565,*CCCP(=O)(O)O|*n1c2cc3ccccc3cc2c2cc3ccccc3cc21,middle
O=P(O)(O)CCCn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccccc3)ccc21,Ph-3PACz,O=P(O)(O)CCCn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccccc3)ccc21,18.46666666666667,18.6,19.2,3,1,0,1,1,0,1,1,0,0,0,0,0,0,5,5,1,1,3,0,32,441.46700000000016,6.696300000000005,62.46,1,2,0.1111111111111111,*CCCP(=O)(O)O|*c1ccc2c(c1)c1cc(*)ccc1n2*|*c1ccccc1,high
O=P(O)(O)CCCn1c2ccc(Cl)cc2c2cc(Cl)ccc21,2Cl-3PACz,O=P(O)(O)CCCn1c2ccc(Cl)cc2c2cc(Cl)ccc21,15.363333333333335,15.43,16.61,3,1,0,1,1,0,1,1,0,0,0,0,1,0,3,3,1,1,3,0,22,358.1610000000001,4.669100000000003,62.46,1,2,0.2,*CCCP(=O)(O)O|*n1c2ccc(Cl)cc2c2cc(Cl)ccc21,middle
O=P(O)(O)CCCn1c2ccc(F)cc2c2ccc3c4cc(F)ccc4n(CCCP(=O)(O)O)c3c21,3-BPIC-F,O=P(O)(O)CCCn1c2ccc(F)cc2c2ccc3c4cc(F)ccc4n(CCCP(=O)(O)O)c3c21,18.65,18.675,19.71,8,1,0,1,1,0,1,1,0,0,0,1,0,0,5,5,2,2,6,2,36,536.4080000000002,5.316200000000006,124.92000000000002,2,4,0.25,*CCCP(=O)(O)O|*n1c2ccc(F)cc2c2ccc3c4cc(F)ccc4n(*)c3c21,high
O=P(O)(O)CCCn1c2ccc(I)cc2c2ccc(I)cc21,Cz-I-3,O=P(O)(O)CCCn1c2ccc(I)cc2c2ccc(I)cc21,17.3,17.3,17.3,1,1,0,1,1,0,1,1,0,0,0,0,0,0,3,3,1,1,3,0,22,541.0630000000001,4.571500000000003,62.46,1,2,0.2,*CCCP(=O)(O)O|*n1c2ccc(I)cc2c2ccc(I)cc21,middle
O=P(O)(O)CCCn1c2ccc3ccccc3c2c2c3ccccc3ccc21,Bz-3PACz,O=P(O)(O)CCCn1c2ccc3ccccc3c2c2c3ccccc3ccc21,18.4,18.4,18.4,1,1,0,1,1,0,1,1,0,0,0,0,0,0,5,5,1,1,3,0,28,389.39100000000013,5.668700000000005,62.46,1,2,0.13043478260869565,*CCCP(=O)(O)O|*n1c2ccc3ccccc3c2c2c3ccccc3ccc21,high
O=P(O)(O)CCCn1c2ccccc2c2cc3c(cc21)c1ccccc1n3CCCP(=O)(O)O,3-BPIC(i),O=P(O)(O)CCCn1c2ccccc2c2cc3c(cc21)c1ccccc1n3CCCP(=O)(O)O,13.54,13.54,13.54,1,1,0,1,1,0,1,1,0,0,0,0,0,0,5,5,2,2,6,0,34,500.4280000000003,5.038000000000006,124.92000000000002,2,4,0.25,*CCCP(=O)(O)O|*n1c2ccccc2c2cc3c(cc21)c1ccccc1n3*,middle
