feature,target,score,signed_score
Bit_438,ff,0.08662791735329914,0.08662791735329914
Bit_631,ff,0.08662791735329914,0.08662791735329914
Bit_730,ff,0.08662555174146458,-0.08662555174146458
Bit_830,ff,0.08662555174146458,-0.08662555174146458
Bit_397,ff,0.08639041115654682,0.08639041115654682
EState_VSA1,ff,0.08638732351431619,0.08638732351431619
Bit_831,ff,0.08609858248113642,0.08609858248113642
Bit_419,ff,0.08609623268495811,0.08609623268495811
Bit_893,ff,0.08495452841698711,-0.08495452841698711
Bit_535,ff,0.08408877093173106,-0.08408877093173106
Bit_609,ff,0.08370338911118813,0.08370338911118813
Bit_885,ff,0.08361108298151264,0.08361108298151264
FpDensityMorgan3,ff,0.08319912153414184,-0.08319912153414184
Bit_131,ff,0.08254529300924615,-0.08254529300924615
Bit_507,ff,0.08254529300924615,-0.08254529300924615
BCUT2D_MWHI,ff,0.0819891310732018,0.0819891310732018
Bit_699,ff,0.0819640249019637,-0.0819640249019637
SMR_VSA1,ff,0.08194607880612191,0.08194607880612191
Bit_23,ff,0.07995998552604076,-0.07995998552604076
Bit_967,ff,0.07995998552604076,-0.07995998552604076
Bit_250,ff,0.07993139686907909,-0.07993139686907909
PEOE_VSA12,ff,0.07929385830980427,-0.07929385830980427
Bit_22,ff,0.07929385830980427,-0.07929385830980427
Bit_479,ff,0.07929385830980427,-0.07929385830980427
Bit_526,ff,0.07929385830980427,-0.07929385830980427
Bit_685,ff,0.07929385830980427,-0.07929385830980427
Bit_1010,ff,0.07929385830980427,-0.07929385830980427
EState_VSA7,ff,0.07861312671889734,0.07861312671889734
qed,ff,0.0777862279856132,-0.0777862279856132
Bit_393,ff,0.0777384926754333,-0.0777384926754333
Bit_891,ff,0.07756228742753232,0.07756228742753232
Bit_225,ff,0.07742466891180044,-0.07742466891180044
Bit_50,ff,0.0773619551636386,0.0773619551636386
MaxPartialCharge,ff,0.07668067092084437,-0.07668067092084437
fr_Al_COO,ff,0.07658323225273275,-0.07658323225273275
Bit_185,ff,0.07571146512924262,0.07571146512924262
Bit_265,ff,0.07571146512924262,0.07571146512924262
Bit_285,ff,0.07571146512924262,0.07571146512924262
Bit_672,ff,0.07571146512924262,0.07571146512924262
Bit_723,ff,0.07571146512924262,0.07571146512924262
Bit_790,ff,0.07370815081469151,-0.07370815081469151
Bit_271,ff,0.07362236254810375,0.07362236254810375
Bit_592,ff,0.0735514444958229,-0.0735514444958229
Bit_137,ff,0.07313413310308606,-0.07313413310308606
Bit_711,ff,0.07313413310308606,-0.07313413310308606
SlogP_VSA5,ff,0.07177289753199655,-0.07177289753199655
Bit_19,ff,0.0716431542853035,-0.0716431542853035
Bit_161,ff,0.0716431542853035,-0.0716431542853035
Bit_299,ff,0.0716431542853035,-0.0716431542853035
Bit_901,ff,0.0716431542853035,-0.0716431542853035
Bit_150,ff,0.07109205309849348,-0.07109205309849348
Bit_212,ff,0.07109205309849348,-0.07109205309849348
Bit_709,ff,0.07093151304812598,0.07093151304812598
PEOE_VSA9,ff,0.06908953289452778,0.06908953289452778
Bit_284,ff,0.06867204054317849,-0.06867204054317849
Bit_25,ff,0.06849459945606867,0.06849459945606867
Bit_736,ff,0.06767331726924529,0.06767331726924529
Bit_449,ff,0.06671415879742468,-0.06671415879742468
Bit_653,ff,0.06671415879742468,-0.06671415879742468
Bit_662,ff,0.06671415879742468,-0.06671415879742468
Bit_684,ff,0.06671415879742468,-0.06671415879742468
Bit_833,ff,0.06671415879742468,-0.06671415879742468
Bit_1001,ff,0.06671415879742468,-0.06671415879742468
fr_NH2,ff,0.06668324360401327,-0.06668324360401327
Bit_147,ff,0.06668324360401327,-0.06668324360401327
Bit_173,ff,0.06668324360401327,-0.06668324360401327
Bit_981,ff,0.06668324360401327,-0.06668324360401327
Bit_656,ff,0.06662277944421746,-0.06662277944421746
Bit_848,ff,0.06655710036873855,0.06655710036873855
Bit_960,ff,0.06459441980609963,-0.06459441980609963
Bit_86,ff,0.06416301277577417,-0.06416301277577417
Bit_115,ff,0.06416301277577417,-0.06416301277577417
Bit_142,ff,0.06416301277577417,-0.06416301277577417
Bit_160,ff,0.06416301277577417,-0.06416301277577417
Bit_162,ff,0.06416301277577417,-0.06416301277577417
Bit_219,ff,0.06416301277577417,-0.06416301277577417
Bit_243,ff,0.06416301277577417,-0.06416301277577417
Bit_300,ff,0.06416301277577417,-0.06416301277577417
Bit_663,ff,0.06416301277577417,-0.06416301277577417
Bit_800,ff,0.06416301277577417,-0.06416301277577417
Bit_922,ff,0.06392773766996314,-0.06392773766996314
