canonical_smiles,name,pce_mean,pce_group,record_count,anchor_rule,backbone_rule,spacer_rule,x_base,y_base,z_base,x_plot,y_plot,z_plot
O=P(O)(O)CCN1c2ccc(Br)cc2[Se]c2cc(Br)ccc21,Br-2EPSe,18.16,middle,2,P-acid,Other,Short C2,0,3,0,0.04657695762809504,2.984329882818365,0.02578496288904609
O=P(O)(O)CCn1c2c(Cl)cc(Cl)cc2c2cc(Cl)cc(Cl)c21,4Cl-PACz,17.5,middle,4,P-acid,Substituted PACz,Short C2,0,1,0,-0.006893983915659653,1.0169747753889855,0.059260879009038286
O=P(O)(O)CCn1c2cc(-c3ccc(F)cc3)ccc2c2ccc(-c3ccc(F)cc3)cc21,BPC-F,13.7,middle,2,P-acid,PACz core,Short C2,0,2,0,-0.029630881843090765,2.0123601350917597,-0.039966056306525624
O=P(O)(O)CCn1c2cc(-c3ccccc3)ccc2c2ccc(-c3ccccc3)cc21,Ph-2PACz,18.38,middle,3,P-acid,Substituted PACz,Short C2,0,1,0,-0.005580274763447934,0.9240928349436643,0.056963458297634745
O=P(O)(O)CCn1c2cc(-c3ccsc3)ccc2c2ccc(-c3ccsc3)cc21,2PAThCz,19.895,high,2,P-acid,PACz core,Short C2,0,2,0,-0.1181134103770621,2.0063342847139514,0.07479300891923268
O=P(O)(O)CCn1c2cc(Br)ccc2c2ccc(Br)cc21,"2,7-diBr-2PACz",17.345555555555553,middle,18,P-acid,Substituted PACz,Short C2,0,1,0,-0.10129787306961612,1.0159759831097233,0.016301461409601786
O=P(O)(O)CCn1c2cc(Cl)ccc2c2ccc(Cl)cc21,"2,7-diCl-2PACz",15.225,middle,4,P-acid,Substituted PACz,Short C2,0,1,0,-0.09258897286480818,1.1762231826273744,0.016408062488908717
O=P(O)(O)CCn1c2cc(F)ccc2c2ccc(F)cc21,F-2PACz,17.7,middle,1,P-acid,Substituted PACz,Short C2,0,1,0,-0.06980727793210373,1.131379122789717,0.018924026749720813
O=P(O)(O)CCn1c2cc(I)ccc2c2ccc(I)cc21,I-2PACz,18.2,middle,1,P-acid,PACz core,Short C2,0,2,0,0.027984195870640563,1.9402729654608826,-0.060434168531756725
O=P(O)(O)CCn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccccc3)ccc21,Ph-Cz,18.51,high,1,P-acid,PACz core,Short C2,0,2,0,-0.06338353387520426,1.9798831646915576,-0.010327007616824705
O=P(O)(O)CCn1c2ccc(-c3cccs3)cc2c2cc(-c3cccs3)ccc21,Th-Cz,19.571428571428573,high,7,P-acid,PACz core,Short C2,0,2,0,-0.026471378782757283,1.8975590598714098,-0.010676577271665117
O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(Br)ccc21,Br-2PACz,17.725,middle,16,P-acid,Substituted PACz,Short C2,0,1,0,0.09094598084502459,0.9586505090225559,0.02683757050474466
O=P(O)(O)CCn1c2ccc(Br)cc2c2ccc(Br)cc21,"2,6-diBr-2PACz",11.696666666666667,low,3,P-acid,Substituted PACz,Short C2,0,1,0,-0.02493847797429982,1.022092350251324,0.06998769728372063
O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(Cl)ccc21,Cl-2PACz,18.234615384615385,middle,13,P-acid,Substituted PACz,Short C2,0,1,0,0.05162608979269606,1.0844097534621764,-0.07409752573848866
O=P(O)(O)CCn1c2ccc(Cl)cc2c2ccc(Cl)cc21,"2,6-diCl-2PACz",17.36,middle,1,P-acid,Substituted PACz,Short C2,0,1,0,-0.0653532376006914,0.9489641313579474,-0.008750632122370434
O=P(O)(O)CCn1c2ccc(I)cc2c2ccc(I)cc21,Cz-I-2,17.85,middle,2,P-acid,PACz core,Short C2,0,2,0,-0.014380629050734103,1.9542097491952541,0.10370188833612813
